,Sentence,Eno.,Event,Bel(A),Bel(B),CG(A),CG(B)
0,"A: %um but although they solicit, they’re trying to solicit more throughout the, throughout the globe instead of just &Japan ",1.1,"Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan",1,1,1,1
1,None,1.2,The company solicits,1,1,2,2
2,None,1.3,The company is trying to solicit more throughout the globe instead of just Japan,1,1,1,1
3,A: although they’ve had most interest in &Japan.  ,3.0,The company have had most interest in Japan,1,1,1,1
4,A: And I teach probably two classes and then do administrative work to make connections for these people to have tours ,5.1,A teaches two classes,1,1,1,1
5,None,5.2,A does administrative work to make connections for the company representatives to have tours,1,1,1,1
6,None,5.3,A does administrative work,1,1,1,1
7,None,5.4,A makes connections for the company representative to have tours,1,1,1,1
8,A: or to go look at companies dealing with certain issues that they’re working on in their classes. {breath} Half of their classes are business half are English Eng- English business ,6.1,A does administrative work to go look at companies dealing with certain issues that A's students are working on in A's students classes,1,1,1,1
9,None,6.2,A looks at companies dealing with certain issues that A's students are working on in A's students classes,1,1,1,1
10,None,6.3,A's students are working on certain issues in A's students classes,1,1,1,1
11,None,6.4,Half of A's students classes are business half English,1,1,1,1
12,A: So it’s really groovy because I ((mean)) I have all these contacts for them because of my experience in the business world here.  ,12.1,A does administrative work to make connections for the company representatives to have tours and A does administrative work to go look at companies dealing with certain issues that A's students are working on in A's students classes are really groovy because A has all these contact for them because of A's experience in the business world here,1,1,1,1
13,None,12.2,A does administrative work to make connections for the company representatives to have tours and A does administrative work to go look at companies dealing with certain issues that A's students are working on in A's students classes are really groovy,1,1,1,1
14,None,12.3,A has all these contact for them because of A's experience in the business world here,1,1,1,1
15,None,12.4,A has experience in the business world here,1,1,2,2
16,A: And you know and I do a little teaching for them too.  ,14.0,A does a little teaching for A's students too,1,1,1,1
17,B: okay. What classes did you teach at (( )) that would be related? ,15.1,B asks A what classes B taught that would be related,1,1,1,1
18,None,15.2,B taught classes that would be related,1,1,2,2
19,A: I taught business English.  ,17.0,A taught business English,1,1,1,1
20,A: I taught listening. I taught integrated skills and g- beginning grammar.  ,19.1,A taught listening,1,1,1,1
21,None,19.2,A taught integrated skills and beginning grammar,1,1,1,1
22,B: mhm. I’m just writing this down so I ,21.0,B is writing down what A is teaching,1,1,1,1
23,A: You don’t have to tell them about (( )) or anything. {breath} oh weird.  ,23.0,B does not have to tell them (?) about what A is teaching or anything,1,1,1,1
24,"A: I had a dream this morning about, ",27.0,A had a dream this morning,1,1,1,1
25,A: it’s weird. I don’t know if you were in it. I think you were.  ,28.1,A's dream is weird,1,1,1,1
26,None,28.2,A doesn't  know if B was in A's dream,1,1,1,1
27,None,28.3,B was in A's dream,3,3,1,1
28,None,28.4,A thinks that B was in A's dream,1,1,1,1
29,A: But &Barry was definitely in it.  ,30.0,Barry was definitely in A's dream,1,1,1,1
30,A: I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning. {laugh} ,33.1,"In A's dream, Barry and A were trying to get somewhere",1,1,1,1
31,None,33.2,"In A's dream, Barry and A had to jump in this water but Barry would not let go of A when Barry and A got in the water",1,1,1,1
32,None,33.3,"In A's dream, Barry and A had to jump in this water",1,1,1,1
33,None,33.4,"In A's dream, Barry would not let go of A when Barry and A got in the water",1,1,1,1
34,None,33.5,"In A's dream, Barry would not let go of A",1,1,1,1
35,None,33.6,"In A's dream, Barry and A got in the water",1,1,1,1
36,None,33.7,A woke up because A started drowning in A's dream,1,1,1,1
37,None,33.8,A woke up,1,1,1,1
38,None,33.9,A started drowning in A's dream,1,1,1,1
39,A: {breath} I don’t know what that means. I got a postcard from her too the other day ,35.1,A doesn't know what A's dream mean,1,1,1,1
40,None,35.2,A's dream means something,1,1,2,2
41,None,35.3,A got a postcard from Barry too the other day,1,1,1,1
42,B: yeah. That’s a scary dream.  ,37.0,A's dream is scary,1,1,1,1
43,A: It was pretty scary.  ,38.0,A's dream was pretty scary,1,1,1,1
44,A: [channel noise] I don’t know it was kind of one of those frustrating type dreams.  ,40.0,A's dream was kind of one of those frustrating type dreams,1,1,1,1
45,"B: %eh w- listen. Was it difficult coming back, going back to the &U &S? ",41.1,B asks A if going back to the US was difficult,1,1,1,1
46,None,41.2,Going back to the US was difficult,1,4,0,0
47,A: yeah.  ,42.0,A says yeah.  ,0,1,1,1
48,A: It was harder than I thought it would be actually.  ,44.1,Going back to the US was harder than A thought going back to the US would be actually,1,1,1,1
49,None,44.2,A thought going back to the US would be hard,1,1,1,1
50,None,44.3,Going back to the US was hard for A,1,1,1,1
51,A: I wasn’t used to the pace ,48.1,Going back to the US was hard for A because A was not used to the pace,1,1,1,1
52,None,48.2,A was not used to the pace,1,1,1,1
53,A: you know the pace is totally different.  ,51.0,The pace in Poland is totally different,1,1,1,1
54,A: I didn’t really want to see anybody for a while.  ,55.0,A didn’t really want to see anybody for a while,1,1,1,1
55,"A: And I d-, and I didn’t, which was fine.  ",56.1,A didn't see anybody for a while,1,1,1,1
56,None,56.2,A not seeing anybody for a while was fine,1,1,1,1
